"","levels(factor(wt_sig_revigo$term))"
"73","glutamate metabolic process"
"74","proline catabolic process"
"75","transport"
"76","oligopeptide transport"
"77","lipid transport"
"78","response to stress"
"79","O-methyltransferase activity"
"80","asymmetric cell division"
"81","3-hydroxyisobutyrate dehydrogenase activity"
"82","response to water"
"83","photosynthesis, light harvesting"
"84","radial pattern formation"
"85","membrane"
"86","protochlorophyllide reductase activity"
"87","hydrolase activity, acting on ester bonds"
"88","ATPase activity"
"89","carboxylic acid metabolic process"
"90","oxygen binding"
"91","substrate-specific transmembrane transporter activity"
"92","proton-transporting two-sector ATPase complex, proton-transporting domain"
"93","leaf development"
"94","coenzyme binding"
"95","oxidation-reduction process"
"96","FAD binding"
"97","nucleotide binding"
"98","nuclear exosome (RNase complex)"
"99","spliceosomal snRNP assembly"
"100","protein peptidyl-prolyl isomerization"
"101","nucleosome"
"102","TFIIIB-type transcription factor activity"
"103","DNA binding"
"104","DNA helicase activity"
"105","single-stranded DNA binding"
"106","RNA binding"
"107","structural constituent of ribosome"
"108","translation elongation factor activity"
"109","microtubule motor activity"
"110","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity"
"111","GMP synthase (glutamine-hydrolyzing) activity"
"112","GTPase activity"
"113","IMP cyclohydrolase activity"
"114","IMP dehydrogenase activity"
"115","argininosuccinate lyase activity"
"116","dihydropteroate synthase activity"
"117","endopeptidase activity"
"118","threonine-type endopeptidase activity"
"119","histidinol dehydrogenase activity"
"120","phosphoglycerate dehydrogenase activity"
"121","glycine-tRNA ligase activity"
"122","structural constituent of cytoskeleton"
"123","intracellular"
"124","nucleus"
"125","spliceosomal complex"
"126","nucleolus"
"127","spindle"
"128","proteasome core complex"
"129","ribosome"
"130","mRNA cleavage and polyadenylation specificity factor complex"
"131","eukaryotic translation initiation factor 3 complex"
"132","eukaryotic translation elongation factor 1 complex"
"133","DNA replication"
"134","DNA replication initiation"
"135","nucleosome assembly"
"136","RNA processing"
"137","translation"
"138","translational initiation"
"139","translational elongation"
"140","glycyl-tRNA aminoacylation"
"141","protein folding"
"142","microtubule-based movement"
"143","multicellular organism development"
"144","microtubule binding"
"145","5S rRNA binding"
"146","rRNA methyltransferase activity"
"147","UDP-N-acetylmuramoylalanine-D-glutamate ligase activity"
"148","anaphase-promoting complex binding"
"149","small ribosomal subunit"
"150","transferase activity, transferring acyl groups other than amino-acyl groups"
"151","SUMO activating enzyme activity"
"152","preribosome, small subunit precursor"
"153","gene silencing by RNA"
"154","translation initiation factor binding"
"155","RNA (guanine-N7)-methylation"
"156","protein refolding"
"157","ribosome biogenesis"
"158","arginine biosynthetic process via ornithine"
"159","MCM complex"
"160","pteridine-containing compound metabolic process"
"161","protein heterodimerization activity"
"162","unfolded protein binding"
"163","proteolysis involved in cellular protein catabolic process"
"164","auxin transport"
"165","ubiquitin-protein transferase activator activity"
"166","positive regulation of ubiquitin protein ligase activity"
"167","1,3-beta-D-glucan synthase complex"
"168","phosphoethanolamine N-methyltransferase activity"
"169","transcription factor activity, sequence-specific DNA binding"
"170","fructose-bisphosphate aldolase activity"
"171","malate dehydrogenase (decarboxylating) (NAD+) activity"
"172","chitinase activity"
"173","polynucleotide adenylyltransferase activity"
"174","Rho guanyl-nucleotide exchange factor activity"
"175","ion channel activity"
"176","cell wall"
"177","trehalose biosynthetic process"
"178","chitin catabolic process"
"179","cellular glucan metabolic process"
"180","ion transport"
"181","sodium ion transport"
"182","defense response"
"183","chitin binding"
"184","cysteine-type peptidase activity"
"185","spermidine biosynthetic process"
"186","biosynthetic process"
"187","menaquinone biosynthetic process"
"188","photosystem I reaction center"
"189","brassinosteroid mediated signaling pathway"
"190","acireductone dioxygenase [iron(II)-requiring] activity"
"191","terpene synthase activity"
"192","malate transport"
"193","phosphatidylinositol phosphate kinase activity"
"194","oxidoreductase activity"
"195","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
"196","xyloglucan:xyloglucosyl transferase activity"
"197","transferase activity, transferring phosphorus-containing groups"
"198","inositol catabolic process"
"199","L-methionine biosynthetic process from methylthioadenosine"
"200","tetrapyrrole biosynthetic process"
"201","intracellular signal transduction"
"202","cell wall biogenesis"
"203","ADP binding"
"204","RNA polyadenylation"
"205","phosphatidylinositol metabolic process"
"206","metal ion binding"
"207","apoplast"
"208","inositol oxygenase activity"
"209","NADP binding"
"210","diacylglycerol O-acyltransferase activity"
"211","protein targeting"
"212","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
"213","negative regulation of ethylene-activated signaling pathway"
"214","CCAAT-binding factor complex"
"215","protein import"
"216","ethylene receptor activity"
"217","nucleoside-triphosphate diphosphatase activity"
"218","response to stimulus"
"219","ethylene binding"
"220","serine-type exopeptidase activity"
"221","MAPK cascade"
"222","cellular glucose homeostasis"
"223","carbonate dehydratase activity"
"224","cysteine synthase activity"
"225","4-alpha-glucanotransferase activity"
"226","histone acetyltransferase activity"
"227","methionyl-tRNA formyltransferase activity"
"228","monooxygenase activity"
"229","porphobilinogen synthase activity"
"230","tryptophan-tRNA ligase activity"
"231","inorganic phosphate transmembrane transporter activity"
"232","glucose binding"
"233","cellular aldehyde metabolic process"
"234","tryptophanyl-tRNA aminoacylation"
"235","glycine metabolic process"
"236","phosphatidylserine biosynthetic process"
"237","one-carbon metabolic process"
"238","phosphate ion transport"
"239","autophagy"
"240","transaminase activity"
"241","sucrose transmembrane transporter activity"
"242","phototropism"
"243","plant-type secondary cell wall biogenesis"
"244","tocopherol cyclase activity"
"245","glucuronosyltransferase activity"
"246","sucrose transport"
"247","polyamine transport"
"248","phosphotransferase activity, alcohol group as acceptor"
"249","lyase activity"
"250","deaminase activity"
"251","cyanide metabolic process"
"252","polyamine binding"
"253","phosphatidylinositol binding"
"254","periplasmic space"
"255","positive regulation of transcription from RNA polymerase II promoter"
"256","long-chain-alcohol oxidase activity"
"257","Holliday junction resolvase complex"
"258","recognition of pollen"
"259","L-3-cyanoalanine synthase activity"
"260","glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group"
"261","conversion of methionyl-tRNA to N-formyl-methionyl-tRNA"
"262","ATG1/ULK1 kinase complex"
